Source Well,Dest Well,Vol
A1,A2,50
A2,A11,50
A3,E22,50
A4,I14,50
A5,H9,50
A6,L3,50
A7,G1,50
A8,C14,50
A9,G14,50
A10,F11,50
A11,N1,50
A12,E4,50
A13,O21,50
A14,M11,50
A15,B9,50
A16,M9,50
A17,A15,50
A18,O15,50
A19,C9,50
A20,O7,50
A21,G11,50
A22,L24,50
A23,A10,50
A24,A22,50
B1,A18,50
B2,B1,50
B3,E2,50
B4,J4,50
B5,E3,50
B6,J9,50
B7,N23,50
B8,A13,50
B9,O10,50
B10,N22,50
B11,B22,50
B12,D19,50
B13,M5,50
B14,L7,50
B15,I23,50
B16,A5,50
B17,B12,50
B18,F21,50
B19,H21,50
B20,D17,50
B21,M21,50
B22,A24,50
B23,E19,50
B24,B15,50
C1,F7,50
C2,C8,50
C3,N7,50
C4,F16,50
C5,K21,50
C6,O5,50
C7,G5,50
C8,I15,50
C9,A17,50
C10,O17,50
C11,O24,50
C12,O20,50
C13,I17,50
C14,E16,50
C15,I22,50
C16,C23,50
C17,P9,50
C18,C13,50
C19,D12,50
C20,L12,50
C21,L2,50
C22,L4,50
C23,F13,50
C24,C20,50
D1,G3,50
D2,D13,50
D3,A12,50
D4,J10,50
D5,E20,50
D6,F5,50
D7,F9,50
D8,D3,50
D9,N18,50
D10,O23,50
D11,G22,50
D12,C16,50
D13,F19,50
D14,B6,50
D15,B24,50
D16,I19,50
D17,H3,50
D18,L9,50
D19,P21,50
D20,F22,50
D21,P7,50
D22,C1,50
D23,G9,50
D24,D16,50
E1,G15,50
E2,E5,50
E3,L8,50
E4,K17,50
E5,E24,50
E6,I7,50
E7,H6,50
E8,J15,50
E9,E13,50
E10,D8,50
E11,G19,50
E12,O8,50
E13,G17,50
E14,C6,50
E15,K8,50
E16,M19,50
E17,H18,50
E18,I2,50
E19,N14,50
E20,J18,50
E21,J3,50
E22,I12,50
E23,H23,50
E24,E6,50
F1,I8,50
F2,F2,50
F3,F14,50
F4,G21,50
F5,B21,50
F6,P4,50
F7,F8,50
F8,G16,50
F9,I20,50
F10,J6,50
F11,K16,50
F12,B5,50
F13,O1,50
F14,J16,50
F15,G8,50
F16,C4,50
F17,J20,50
F18,B11,50
F19,O13,50
F20,D18,50
F21,A3,50
F22,H12,50
F23,J1,50
F24,F12,50
G1,J14,50
G2,G4,50
G3,E1,50
G4,D24,50
G5,J7,50
G6,B3,50
G7,H24,50
G8,P16,50
G9,N11,50
G10,A21,50
G11,A8,50
G12,C15,50
G13,L1,50
G14,G10,50
G15,D2,50
G16,M22,50
G17,O19,50
G18,K11,50
G19,N2,50
G20,P8,50
G21,A7,50
G22,C24,50
