Source Well,Dest Well,Vol
A1,A20,50
A2,A17,50
A3,B17,50
A4,N3,50
A5,C3,50
A6,P23,50
A7,I21,50
A8,N10,50
A9,B8,50
A10,C20,50
A11,H5,50
A12,G22,50
A13,M2,50
A14,B1,50
A15,I18,50
A16,P21,50
A17,J20,50
A18,D21,50
A19,I10,50
A20,K10,50
A21,M19,50
A22,N15,50
A23,B12,50
A24,A21,50
B1,B21,50
B2,B14,50
B3,M23,50
B4,M13,50
B5,I15,50
B6,A19,50
B7,B4,50
B8,H20,50
B9,L2,50
B10,F7,50
B11,F14,50
B12,L19,50
B13,B7,50
B14,F8,50
B15,O17,50
B16,J21,50
B17,E19,50
B18,O10,50
B19,P9,50
B20,L21,50
B21,E12,50
B22,O22,50
B23,C7,50
B24,B18,50
C1,C9,50
C2,C10,50
C3,I11,50
C4,F24,50
C5,N17,50
C6,P16,50
C7,K4,50
C8,J19,50
C9,J9,50
C10,G6,50
C11,C18,50
C12,B20,50
C13,M7,50
C14,I3,50
C15,L14,50
C16,G21,50
C17,O6,50
C18,L11,50
C19,P8,50
C20,E8,50
C21,I23,50
C22,P3,50
C23,C22,50
C24,C19,50
D1,D10,50
D2,D9,50
D3,H6,50
D4,G24,50
D5,I1,50
D6,K12,50
D7,K3,50
D8,D16,50
D9,P15,50
D10,H7,50
D11,P19,50
D12,B9,50
D13,A13,50
D14,K18,50
D15,O20,50
D16,D23,50
D17,A4,50
D18,A10,50
D19,G5,50
D20,E2,50
D21,N11,50
D22,O8,50
D23,D17,50
D24,D24,50
E1,G18,50
E2,E4,50
E3,N9,50
E4,O18,50
E5,N12,50
E6,K9,50
E7,I2,50
E8,M14,50
E9,A14,50
E10,A2,50
E11,E17,50
E12,F19,50
E13,N2,50
E14,D11,50
E15,C13,50
E16,K24,50
E17,A1,50
E18,M12,50
E19,O4,50
E20,O5,50
E21,B6,50
E22,I4,50
E23,H14,50
E24,E7,50
F1,J5,50
F2,F3,50
F3,I20,50
F4,G2,50
F5,I12,50
F6,G4,50
F7,B16,50
F8,P17,50
F9,L9,50
F10,H24,50
F11,C6,50
F12,K21,50
F13,L12,50
F14,B10,50
F15,L17,50
F16,C23,50
F17,C5,50
F18,H21,50
F19,M5,50
F20,B15,50
F21,H12,50
F22,J2,50
F23,J15,50
F24,F23,50
G1,K2,50
G2,G13,50
G3,G7,50
G4,L20,50
G5,D8,50
G6,H11,50
G7,K13,50
G8,H4,50
G9,F18,50
G10,C8,50
G11,G20,50
G12,J16,50
G13,E3,50
G14,A18,50
G15,G3,50
G16,N6,50
G17,P18,50
G18,A12,50
G19,C15,50
G20,I6,50
G21,E13,50
G22,J4,50
G23,K19,50
G24,G16,50
H1,K23,50
H2,H10,50
H3,E24,50
H4,H15,50
H5,E18,50
H6,J7,50
H7,B22,50
H8,F10,50
H9,N5,50
H10,I24,50
H11,A7,50
H12,F12,50
H13,N21,50
H14,I19,50
H15,J8,50
H16,D5,50
H17,M1,50
H18,G10,50
H19,H1,50
H20,J17,50
H21,E21,50
H22,H8,50
H23,L4,50
H24,H19,50
I1,L16,50
I2,I13,50
I3,K7,50
I4,L13,50
I5,G9,50
I6,D13,50
I7,F21,50
I8,O19,50
I9,O7,50
I10,F9,50
I11,K11,50
I12,C4,50
I13,F2,50
I14,H9,50
I15,P4,50
I16,B3,50
I17,H16,50
I18,F4,50
I19,A24,50
I20,E9,50
I21,B23,50
I22,H22,50
I23,F15,50
I24,I16,50
J1,M6,50
J2,J11,50
J3,L6,50
J4,F16,50
J5,F1,50
J6,G23,50
J7,A11,50
J8,N13,50
J9,J1,50
J10,A22,50
J11,E22,50
J12,E5,50
J13,P22,50
J14,A3,50
J15,L10,50
J16,M16,50
J17,D3,50
J18,L5,50
J19,O14,50
J20,J10,50
J21,F13,50
J22,B2,50
J23,G19,50
J24,J22,50
K1,M8,50
K2,K5,50
K3,N19,50
K4,D6,50
K5,N14,50
K6,O11,50
K7,I9,50
K8,N18,50
K9,P6,50
K10,D7,50
K11,N7,50
K12,H18,50
K13,O23,50
K14,M3,50
K15,B13,50
K16,N4,50
K17,J14,50
K18,K22,50
K19,B11,50
K20,E15,50
K21,D19,50
K22,C21,50
K23,H17,50
K24,K6,50
L1,M11,50
L2,L1,50
L3,E23,50
L4,L8,50
L5,G11,50
L6,J24,50
L7,D1,50
L8,M18,50
L9,K20,50
L10,E10,50
L11,F20,50
L12,I8,50
L13,M15,50
L14,P7,50
L15,H13,50
L16,B19,50
L17,P13,50
L18,D20,50
L19,O12,50
L20,D18,50
L21,B24,50
L22,E16,50
L23,D12,50
L24,L15,50
M1,N1,50
M2,M17,50
M3,G15,50
M4,K16,50
M5,G8,50
M6,K15,50
M7,A5,50
M8,A6,50
M9,L7,50
